bit_position,majority_board1,majority_board2,match
1039,0,0,yes
1040,0,1,no
1041,1,1,yes
1042,1,0,no
1043,0,0,yes
1044,0,0,yes
1045,1,0,no
1046,0,0,yes
1047,0,0,yes
1048,0,1,no
1049,1,0,no
1050,0,0,yes
1051,0,0,yes
1052,1,1,yes
1053,0,1,no
1054,0,0,yes
1055,0,0,yes
1056,0,0,yes
1057,1,0,no
1058,1,1,yes
1059,0,1,no
1060,0,1,no
1061,0,1,no
1062,1,0,no
1063,0,1,no
1064,1,0,no
1065,0,1,no
1066,0,1,no
1067,1,1,yes
1068,1,1,yes
1069,0,0,yes
1070,1,0,no
1071,1,1,yes
1072,1,0,no
1073,1,1,yes
1074,1,0,no
1075,0,1,no
1076,0,0,yes
1077,1,1,yes
1078,0,0,yes
1079,0,1,no
1080,0,0,yes
1081,1,1,yes
1082,0,1,no
1083,0,1,no
1084,0,1,no
1085,0,1,no
1086,0,1,no
1087,1,1,yes
1088,0,1,no
1089,0,0,yes
1090,0,1,no
1091,0,0,yes
1092,1,1,yes
1093,0,1,no
1094,0,1,no
1095,0,0,yes
1096,0,0,yes
1097,0,0,yes
1098,0,0,yes
1099,0,0,yes
1100,1,0,no
1101,1,0,no
1102,1,1,yes
1103,1,1,yes
1104,1,0,no
1105,0,0,yes
1106,1,1,yes
1107,1,0,no
1108,1,1,yes
1109,1,0,no
1110,1,1,yes
1111,1,1,yes
1112,1,1,yes
1113,1,0,no
1114,0,0,yes
1115,0,0,yes
1116,1,0,no
1117,0,0,yes
1118,0,1,no
1119,1,0,no
1120,0,0,yes
1121,0,1,no
1122,1,1,yes
1123,1,0,no
1124,0,0,yes
1125,1,0,no
1126,0,1,no
1127,1,0,no
1128,0,0,yes
1129,0,1,no
1130,0,0,yes
1131,0,0,yes
1132,0,0,yes
1133,1,0,no
1134,0,0,yes
1135,0,0,yes
1136,0,0,yes
1137,0,1,no
1138,1,1,yes
1139,0,0,yes
1140,0,0,yes
1141,0,0,yes
1142,1,0,no
1143,1,0,no
1144,0,1,no
1145,1,0,no
1146,0,0,yes
1147,0,0,yes
1148,1,1,yes
1149,0,1,no
1150,0,1,no
1151,1,1,yes
1152,1,0,no
1153,1,0,no
1154,0,0,yes
1155,1,1,yes
1156,0,0,yes
1157,1,0,no
1158,1,1,yes
1159,0,0,yes
1160,0,1,no
1161,0,1,no
1162,1,0,no
1163,1,1,yes
1164,1,0,no
1165,0,1,no
1166,0,0,yes
1167,0,0,yes
1168,0,0,yes
1169,0,0,yes
1170,1,0,no
1171,0,0,yes
1172,1,1,yes
1173,0,1,no
1174,0,0,yes
1175,0,1,no
1176,0,1,no
1177,0,1,no
1178,1,0,no
1179,1,1,yes
1180,1,1,yes
1181,1,1,yes
1182,1,1,yes
1183,1,0,no
1184,0,0,yes
1185,0,1,no
1186,1,0,no
1187,1,0,no
1188,0,0,yes
1189,0,1,no
1190,1,1,yes
1191,0,1,no
1192,1,0,no
1193,0,1,no
1194,0,0,yes
1195,0,1,no
1196,1,0,no
1197,0,1,no
1198,1,1,yes
1199,0,1,no
1200,1,0,no
1201,0,1,no
1202,0,1,no
1203,0,0,yes
1204,1,0,no
1205,0,0,yes
1206,1,0,no
1207,1,0,no
1208,1,0,no
1209,0,0,yes
1210,1,0,no
1211,1,0,no
1212,1,1,yes
1213,1,1,yes
1214,1,1,yes
1215,0,1,no
1216,1,0,no
1217,1,1,yes
1218,0,1,no
1219,1,0,no
1220,0,0,yes
1221,1,0,no
1222,0,0,yes
1223,0,1,no
1224,0,1,no
1225,0,0,yes
1226,0,1,no
1227,1,1,yes
1228,0,1,no
1229,1,0,no
1230,1,0,no
1231,1,1,yes
1232,0,0,yes
1233,0,1,no
1234,0,1,no
1235,1,0,no
1236,0,0,yes
1237,0,0,yes
1238,0,0,yes
1239,0,0,yes
1240,0,1,no
1241,0,1,no
1242,0,1,no
1243,0,0,yes
1244,0,0,yes
1245,1,0,no
1246,1,0,no
1247,1,1,yes
1248,0,0,yes
1249,1,0,no
1250,1,0,no
1251,0,1,no
1252,0,0,yes
1253,1,0,no
1254,0,0,yes
1255,0,1,no
1256,1,0,no
1257,0,1,no
1258,0,1,no
1259,0,1,no
1260,0,1,no
1261,0,1,no
1262,0,1,no
1263,1,1,yes
1264,0,0,yes
1265,1,0,no
1266,0,0,yes
1267,1,0,no
1268,1,1,yes
1269,1,0,no
1270,1,1,yes
1271,1,1,yes
1272,1,1,yes
1273,0,1,no
1274,0,0,yes
1275,0,1,no
1276,1,1,yes
1277,1,1,yes
1278,1,0,no
1279,1,0,no
1280,1,0,no
1281,1,1,yes
1282,1,0,no
1283,0,0,yes
1284,0,1,no
1285,0,1,no
1286,0,0,yes
1287,1,1,yes
1288,0,1,no
1289,0,1,no
1290,0,0,yes
1291,0,1,no
1292,1,0,no
1293,1,0,no
1294,0,1,no
1295,1,0,no
1296,0,1,no
1297,1,0,no
1298,0,1,no
1299,0,1,no
1300,0,1,no
1301,1,0,no
1302,1,0,no
1303,1,0,no
1304,1,1,yes
1305,0,0,yes
1306,1,1,yes
1307,0,1,no
1308,1,0,no
1309,0,0,yes
1310,1,1,yes
1311,0,0,yes
1312,0,1,no
1313,0,1,no
1314,1,1,yes
1315,1,1,yes
1316,0,1,no
1317,1,1,yes
1318,1,0,no
1319,0,1,no
1320,1,0,no
1321,1,1,yes
1322,1,0,no
1323,1,0,no
1324,0,1,no
1325,1,0,no
1326,1,0,no
1327,1,0,no
1328,1,0,no
1329,0,0,yes
1330,1,0,no
1331,1,0,no
1332,0,0,yes
1333,0,1,no
1334,1,1,yes
1335,0,0,yes
1336,0,0,yes
1337,0,1,no
1338,0,0,yes
1339,1,1,yes
1340,0,0,yes
1341,0,1,no
1342,0,1,no
1343,0,1,no
1344,0,1,no
1345,0,1,no
1346,0,1,no
1347,1,1,yes
1348,1,1,yes
1349,0,1,no
1350,1,0,no
1351,1,0,no
1352,0,0,yes
1353,1,1,yes
1354,1,0,no
1355,1,0,no
1356,1,1,yes
1357,1,1,yes
1358,0,1,no
1359,1,1,yes
1360,0,1,no
1361,1,0,no
1362,1,1,yes
1363,1,0,no
1364,0,1,no
1365,0,1,no
1366,1,0,no
1367,1,1,yes
1368,0,1,no
1369,1,0,no
1370,1,1,yes
1371,0,1,no
1372,0,1,no
1373,0,0,yes
1374,1,1,yes
1375,1,0,no
1376,0,0,yes
1377,0,0,yes
1378,1,1,yes
1379,0,1,no
